date,location,disease_type,disease_cases,temperature,humidity,rainfall,population
2010-01-01 00:00:00.000000000,Chennai,Cholera,69,11.9611606832929,21.408004306375233,22.296197997567134,204791
2010-01-02 00:00:47.355439846,Faridabad,Dengue,61,20.760687834216533,54.537490058653226,3.47434123763265,2929103
2010-01-03 00:01:34.710879693,Kolkata,Dengue,33,30.754564368499416,35.540536419831746,24.246951529138165,657004
2010-01-04 00:02:22.066319539,Noida,Cholera,86,24.059407573755127,41.39615078948063,23.44714217204079,1417600
2010-01-05 00:03:09.421759386,Gurgaon,Cholera,113,22.975113328515874,32.3454503250625,13.081013864533691,1738928
2010-01-06 00:03:56.777199232,Faridabad,Cholera,105,18.12548656610618,84.51282622344479,46.08007998287182,1715957
2010-01-07 00:04:44.132639079,Chennai,Dengue,55,29.332316388746253,64.66690250241712,20.889616634912805,2674212
2010-01-08 00:05:31.488078925,Faridabad,Flu,112,31.218634896180514,30.99682491205467,43.20578980981926,187941
2010-01-09 00:06:18.843518772,Hyderabad,Cholera,12,32.66447704506813,61.60250676415601,5.483191481672095,751956
2010-01-10 00:07:06.198958618,Mumbai,Dengue,17,3.518405395301466,77.8857927665637,15.943864210309073,2148862
2010-01-11 00:07:53.554398465,Hyderabad,Flu,112,31.551708785602443,42.13041666662149,8.816542688402002,1897264
2010-01-12 00:08:40.909838311,Kolkata,Malaria,38,47.66185893906164,76.39660073249458,20.420539392409626,545862
2010-01-13 00:09:28.265278158,Noida,Dengue,78,27.049311776404185,22.35319554719939,5.58183435854393,2507477
2010-01-14 00:10:15.620718004,Ghaziabad,Malaria,145,35.763354125462214,75.82250918929344,22.051740292281025,1310237
2010-01-15 00:11:02.976157851,Noida,Dengue,29,27.83661538796089,53.22353941378931,17.693537172411816,450116
2010-01-16 00:11:50.331597698,Bangalore,Flu,97,42.73703092959894,27.837959040798566,11.16575236370026,2047439
2010-01-17 00:12:37.687037544,Gurgaon,Flu,57,46.479154729878445,42.57131076447291,32.10897059751575,2025187
2010-01-18 00:13:25.042477391,Ghaziabad,Flu,66,9.210994964817964,89.03943939572935,47.5455744073916,2933741
2010-01-19 00:14:12.397917237,Kolkata,Cholera,70,21.84300182785633,72.6844813313941,10.355673677479343,2075292
2010-01-20 00:14:59.753357084,Gurgaon,Cholera,145,19.619105046636065,56.00690891080922,35.58954199492252,2956012
2010-01-21 00:15:47.108796930,Ghaziabad,Dengue,105,20.260756164963933,19.213112952362046,37.119044462837145,107322
2010-01-22 00:16:34.464236777,Mumbai,Cholera,6,6.276209061393795,43.42492663212002,24.90602582129312,922343
2010-01-23 00:17:21.819676623,Ghaziabad,Flu,39,40.680786299035965,31.044121120954983,44.88341730502835,2899092
2010-01-24 00:18:09.175116470,Mumbai,Flu,69,1.7883121507467625,15.68008636043122,48.31950330324201,1899859
2010-01-25 00:18:56.530556316,Ghaziabad,Malaria,67,26.411330386357847,53.3763510975452,18.112322602692473,2262417
2010-01-26 00:19:43.885996163,Kolkata,Malaria,48,33.09391940223456,81.13485598727009,32.55166490015938,1215494
2010-01-27 00:20:31.241436009,Chennai,Malaria,51,10.373471902943859,64.04798945393,33.11063089500561,2087860
2010-01-28 00:21:18.596875856,Gurgaon,Flu,113,45.29250960493978,29.974431038440894,20.181776312625228,520722
2010-01-29 00:22:05.952315703,Faridabad,Flu,106,41.92746035123965,55.886768556303124,15.83955372473071,590600
2010-01-30 00:22:53.307755549,Bangalore,Cholera,28,23.554186474196264,85.45874266775752,46.687209911390674,2368106
2010-01-31 00:23:40.663195396,Delhi,Malaria,148,20.557446617006935,67.83320423383483,39.49907746563376,946942
2010-02-01 00:24:28.018635242,Mumbai,Flu,77,11.828396260555001,65.15791195254111,5.723228298727206,2329929
2010-02-02 00:25:15.374075089,Chennai,Flu,8,36.49966123224818,87.4526532982013,5.994203579244351,1875469
2010-02-03 00:26:02.729514935,Hyderabad,Malaria,75,6.587189981598208,73.90986489472198,46.12713844264133,2022991
2010-02-04 00:26:50.084954782,Noida,Malaria,41,34.011887692189156,20.92988344790017,4.070488251346221,2700063
2010-02-05 00:27:37.440394628,Hyderabad,Flu,127,42.12284930592068,37.81080695809611,34.42106731215829,1097575
2010-02-06 00:28:24.795834475,Mumbai,Dengue,19,11.423578795851185,87.21125605901489,11.337912347220586,1500736
2010-02-07 00:29:12.151274321,Mumbai,Malaria,71,43.32137014493781,49.176431535839825,1.7592671370809332,1488385
2010-02-08 00:29:59.506714168,Chennai,Malaria,64,1.6661599719754228,18.930995625694827,2.98187730400451,2640835
2010-02-09 00:30:46.862154014,Faridabad,Malaria,112,45.63936926932627,46.68839037378735,18.676105183978102,524001
2010-02-10 00:31:34.217593861,Gurgaon,Malaria,23,5.918111392564901,65.75945872566406,3.8794225844682337,2057835
2010-02-11 00:32:21.573033708,Ghaziabad,Flu,127,32.28795889690163,89.80385773449929,29.8319599966727,2697431
2010-02-12 00:33:08.928473554,Faridabad,Malaria,82,12.50412344569709,35.91242532505615,32.36272556870378,364848
2010-02-13 00:33:56.283913401,Mumbai,Dengue,62,41.82761955848069,51.1269499903419,18.673428599152448,159092
2010-02-14 00:34:43.639353247,Kolkata,Cholera,59,25.615018045773326,80.37445637198351,37.14390378591754,2785545
2010-02-15 00:35:30.994793094,Noida,Flu,98,6.762059562325068,38.42137744458668,24.502126008478864,2185459
2010-02-16 00:36:18.350232940,Ghaziabad,Dengue,61,28.549578566298923,18.74092452726858,21.511425170104104,2877735
2010-02-17 00:37:05.705672787,Delhi,Dengue,29,20.394130509849155,85.91487000012032,20.34940443950625,2355608
2010-02-18 00:37:53.061112633,Gurgaon,Dengue,21,33.07239083065506,49.07526453708001,21.555324367276867,1211569
2010-02-19 00:38:40.416552480,Faridabad,Dengue,125,44.09516423817298,50.22269686175774,48.39438249672093,2032689
2010-02-20 00:39:27.771992326,Faridabad,Dengue,41,20.469456559170922,59.69601156833457,34.07035300192188,1902364
2010-02-21 00:40:15.127432173,Bangalore,Flu,97,14.494033976692982,10.282929896257968,15.760492358055,470177
2010-02-22 00:41:02.482872019,Faridabad,Dengue,30,0.7257547263804398,84.49049404550793,36.692993510278264,1702891
2010-02-23 00:41:49.838311866,Bangalore,Cholera,111,28.741951892993743,38.91608678196334,16.5133694161458,2078847
2010-02-24 00:42:37.193751713,Kolkata,Dengue,145,20.113738371571678,41.75454899074789,6.28574538923381,1644903
2010-02-25 00:43:24.549191559,Gurgaon,Malaria,121,18.732460950741437,23.928739802658797,23.768017872782455,1364330
2010-02-26 00:44:11.904631406,Ghaziabad,Malaria,16,9.146766064210626,40.252129063396886,37.5511929569207,2350125
2010-02-27 00:44:59.260071252,Gurgaon,Flu,37,21.502767259563715,74.31548246208416,18.88299554436606,1984974
2010-02-28 00:45:46.615511099,Faridabad,Dengue,141,49.222097679168414,73.99933380444278,43.45870710236714,1086141
